"ID","worktype","composer","display title",
"mc000326","musical composition","Bach, J. S.","Prelude in F# minor, Well-Tempered Clavier, Book II",
"mc000257","musical composition","Bach, J. S.","Prelude in G major, Well-Tempered Clavier, Book I",
"mc000329","musical composition","Bach, J. S.","Prelude in G major, Well-Tempered Clavier, Book II",
"mc000260","musical composition","Bach, J. S.","Prelude in G minor, Well-Tempered Clavier, Book I",
"mc000332","musical composition","Bach, J. S.","Prelude in G minor, Well-Tempered Clavier, Book II",
"mc000266","musical composition","Bach, J. S.","Prelude in G# minor, Well-Tempered Clavier, Book I",
"mc000338","musical composition","Bach, J. S.","Prelude in G# minor, Well-Tempered Clavier, Book II",
"mc000368","musical composition","Bach, J. S.","St. John Passion, BWV 245",
"mc000367","musical composition","Bach, J. S.","St. Matthew Passion, BWV 244",
"mc000499","musical composition","Bach, J. S.","Violin Concerto in A minor, BWV 1041",
"mc000502","musical composition","Bach, J. S.","Violin Concerto in A minor, BWV 1044",
"mc000501","musical composition","Bach, J. S.","Violin Concerto in D minor, BWV 1043",
"mc000500","musical composition","Bach, J. S.","Violin Concerto in E major, BWV 1042",
"mc000672","musical composition","Bach, J. S. ","Notenbüchlein für Anna Magdalena Bach ",
"mc000673","musical composition","Bach, J. S. ","Notenbüchlein für Anna Magdalena Bach, Book I (1722) ",
"mc000674","musical composition","Bach, J. S. ","Notenbüchlein für Anna Magdalena Bach, Book II (1725) ",
"mc000371","musical composition","Bach, J. S.","Chaconne from Partita No. 2 in D minor",
"mc000101","musical composition","Beethoven","15 Variations and Fugue on an Original Theme, Op. 35 (""Eroica"")",
"mc000103","musical composition","Beethoven","32 Variations on an Original Theme in C minor, WoO 80",
"mc000104","musical composition","Beethoven","33 Variations on a Waltz by Diabelli, Op. 120",
"mc000102","musical composition","Beethoven","7 Variations on ""God Save the King,"" WoO 78",
"mc000505","musical composition","Beethoven","Concerto for Piano, Violin, and Cello, Op. 56 (""Triple Concerto"")",
"mc000693","musical composition","Beethoven","Die Geschöpfe des Prometheus, Op. 43",
"mc000482","musical composition","Beethoven","Grosse Fugue, Op. 133",
"mc000433","musical composition","Beethoven","Mass in D major, Op. 123 (""Missa solemnis"")",
"mc000690","musical composition","Beethoven","Overture ""Coriolanus,"" Op. 62",
"mc000692","musical composition","Beethoven","Overture ""Die Weihe des Hauses,"" Op. 124",
"mc000699","musical composition","Beethoven","Overture ""Egmont,"" Op. 84, No. 1",
"mc000687","musical composition","Beethoven","Overture ""Leonora No. 1,"" Op. 138",
"mc000688","musical composition","Beethoven","Overture ""Leonora No. 2,"" Op. 72, vsn 1",
